number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
76,44495.36460535212,2025-03-17 11:17:46.189359,2025-03-17 11:17:46.234221,0 days 00:00:00.044862,0.21946956977116644,10,47,500,46,PRUNED
77,54644.78374609295,2025-03-17 11:17:46.234344,2025-03-17 11:17:46.279391,0 days 00:00:00.045047,0.011356071071963422,11,41,400,67,PRUNED
78,47540.210738046146,2025-03-17 11:17:46.279514,2025-03-17 11:17:46.324914,0 days 00:00:00.045400,0.15618934202750398,8,49,500,92,PRUNED
79,43318.60003887576,2025-03-17 11:17:46.325039,2025-03-17 11:17:46.372253,0 days 00:00:00.047214,0.2451517595865955,7,45,300,59,PRUNED
80,46564.42802229391,2025-03-17 11:17:46.372397,2025-03-17 11:17:46.443627,0 days 00:00:00.071230,0.1765582038845883,12,50,600,42,PRUNED
81,15680.576139114457,2025-03-17 11:17:46.443759,2025-03-17 11:17:46.558712,0 days 00:00:00.114953,0.26722921582523157,11,47,500,61,PRUNED
82,44999.59217546609,2025-03-17 11:17:46.558846,2025-03-17 11:17:46.606312,0 days 00:00:00.047466,0.20895464778975378,12,48,500,54,PRUNED
83,17610.74366442171,2025-03-17 11:17:46.606440,2025-03-17 11:17:46.692895,0 days 00:00:00.086455,0.26750767008455717,11,44,500,50,PRUNED
84,43493.58589239958,2025-03-17 11:17:46.693033,2025-03-17 11:17:46.738729,0 days 00:00:00.045696,0.24065742313627891,10,46,400,64,PRUNED
85,15682.64741048293,2025-03-17 11:17:46.738862,2025-03-17 11:17:46.858066,0 days 00:00:00.119204,0.27893616784043207,11,47,500,57,PRUNED
86,44732.27415749351,2025-03-17 11:17:46.858205,2025-03-17 11:17:46.905873,0 days 00:00:00.047668,0.21472119507580664,11,41,600,54,PRUNED
87,15452.860923691504,2025-03-17 11:17:46.906009,2025-03-17 11:17:47.035967,0 days 00:00:00.129958,0.29595545171691323,13,49,600,48,PRUNED
88,42688.15896163822,2025-03-17 11:17:47.036097,2025-03-17 11:17:47.081769,0 days 00:00:00.045672,0.2579386732807462,10,45,500,54,PRUNED
89,48209.91949711921,2025-03-17 11:17:47.081905,2025-03-17 11:17:47.129291,0 days 00:00:00.047386,0.14223392248743671,12,48,400,94,PRUNED
90,44267.63557226227,2025-03-17 11:17:47.129417,2025-03-17 11:17:47.176293,0 days 00:00:00.046876,0.2244101917146947,9,43,500,45,PRUNED
91,17656.504190709587,2025-03-17 11:17:47.176424,2025-03-17 11:17:47.264088,0 days 00:00:00.087664,0.28149838522162907,13,50,500,81,PRUNED
92,15214.660802277407,2025-03-17 11:17:47.264226,2025-03-17 11:17:47.438785,0 days 00:00:00.174559,0.29936038977433527,13,50,500,77,PRUNED
93,43197.65078972241,2025-03-17 11:17:47.438939,2025-03-17 11:17:47.487042,0 days 00:00:00.048103,0.24692992038110922,14,46,600,88,PRUNED
94,45831.14072777286,2025-03-17 11:17:47.487170,2025-03-17 11:17:47.533840,0 days 00:00:00.046670,0.19172321029879713,12,49,500,75,PRUNED
95,16150.469234329968,2025-03-17 11:17:47.533973,2025-03-17 11:17:47.643296,0 days 00:00:00.109323,0.27750404542198215,11,47,400,82,PRUNED
96,44152.64083742814,2025-03-17 11:17:47.643429,2025-03-17 11:17:47.691428,0 days 00:00:00.047999,0.2268271158243361,15,44,500,78,PRUNED
97,42737.62466186939,2025-03-17 11:17:47.691562,2025-03-17 11:17:47.738054,0 days 00:00:00.046492,0.2567372433232027,8,48,600,72,PRUNED
98,45675.968839943685,2025-03-17 11:17:47.738188,2025-03-17 11:17:47.793174,0 days 00:00:00.054986,0.20270287747589089,12,14,400,84,PRUNED
99,43627.069219067176,2025-03-17 11:17:47.793304,2025-03-17 11:17:47.838829,0 days 00:00:00.045525,0.23783236293394985,13,46,500,50,PRUNED
