number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
53,51571.63183005154,2025-03-17 10:51:19.697015,2025-03-17 10:51:19.740255,0 days 00:00:00.043240,0.07237104489533504,12,34,200,34,PRUNED
54,16264.846978424328,2025-03-17 10:51:19.740389,2025-03-17 10:51:20.071456,0 days 00:00:00.331067,0.1188186217980327,13,24,300,43,PRUNED
55,54580.93795255901,2025-03-17 10:51:20.071598,2025-03-17 10:51:20.116768,0 days 00:00:00.045170,0.01265055958725597,14,40,200,37,PRUNED
56,14887.252638371388,2025-03-17 10:51:20.116903,2025-03-17 10:51:20.899751,0 days 00:00:00.782848,0.14981438377960393,7,47,300,29,COMPLETE
57,15189.774537930072,2025-03-17 10:51:20.900349,2025-03-17 10:51:22.033168,0 days 00:00:01.132819,0.24388694713681078,5,47,600,23,COMPLETE
58,14997.338100720652,2025-03-17 10:51:22.033843,2025-03-17 10:51:23.209028,0 days 00:00:01.175185,0.15902003852097107,7,44,1000,29,PRUNED
59,54155.8975877628,2025-03-17 10:51:23.209310,2025-03-17 10:51:23.252795,0 days 00:00:00.043485,0.02128435803126255,6,49,100,35,PRUNED
60,15390.745756798968,2025-03-17 10:51:23.252923,2025-03-17 10:51:23.715519,0 days 00:00:00.462596,0.20044176621800658,9,46,900,27,PRUNED
61,15572.269807225479,2025-03-17 10:51:23.715699,2025-03-17 10:51:23.949487,0 days 00:00:00.233788,0.24867639750735684,5,47,300,23,PRUNED
62,15304.593982034476,2025-03-17 10:51:23.949654,2025-03-17 10:51:24.173134,0 days 00:00:00.223480,0.21689615407377155,4,47,600,23,PRUNED
63,15142.324287315623,2025-03-17 10:51:24.173341,2025-03-17 10:51:25.009399,0 days 00:00:00.836058,0.2740678795044109,5,45,1000,31,PRUNED
64,15488.43895019368,2025-03-17 10:51:25.009652,2025-03-17 10:51:25.160227,0 days 00:00:00.150575,0.13630833314465188,6,49,400,25,PRUNED
65,15438.087433629104,2025-03-17 10:51:25.160380,2025-03-17 10:51:25.620605,0 days 00:00:00.460225,0.17067546972588177,10,42,1000,33,PRUNED
66,15912.152980706378,2025-03-17 10:51:25.620770,2025-03-17 10:51:25.803301,0 days 00:00:00.182531,0.10304896937727862,7,49,700,39,PRUNED
67,52638.15653241863,2025-03-17 10:51:25.803446,2025-03-17 10:51:25.846554,0 days 00:00:00.043108,0.052951730487128694,4,45,900,20,PRUNED
68,51262.860077702084,2025-03-17 10:51:25.846704,2025-03-17 10:51:25.890714,0 days 00:00:00.044010,0.0798221678179987,9,43,800,29,PRUNED
69,52070.01068655832,2025-03-17 10:51:25.890843,2025-03-17 10:51:25.936331,0 days 00:00:00.045488,0.06332023885631938,8,47,1000,44,PRUNED
70,15374.273818335849,2025-03-17 10:51:25.936454,2025-03-17 10:51:26.230741,0 days 00:00:00.294287,0.1427599260752973,10,41,500,26,PRUNED
71,50791.06820308341,2025-03-17 10:51:26.230876,2025-03-17 10:51:26.276267,0 days 00:00:00.045391,0.08952165579764111,15,36,200,38,PRUNED
72,51790.3438424958,2025-03-17 10:51:26.276402,2025-03-17 10:51:26.322932,0 days 00:00:00.046530,0.06940288040549422,8,32,300,42,PRUNED
73,14887.735104980602,2025-03-17 10:51:26.323065,2025-03-17 10:51:27.483211,0 days 00:00:01.160146,0.09868639582598279,7,49,400,45,COMPLETE
74,15609.01188389899,2025-03-17 10:51:27.483902,2025-03-17 10:51:27.683734,0 days 00:00:00.199832,0.11114841407024074,7,49,400,45,PRUNED
75,15355.764339103662,2025-03-17 10:51:27.683871,2025-03-17 10:51:27.911921,0 days 00:00:00.228050,0.12309447079254554,8,48,300,35,PRUNED
76,51385.97262153154,2025-03-17 10:51:27.912085,2025-03-17 10:51:27.957005,0 days 00:00:00.044920,0.07747842675370038,7,50,400,32,PRUNED
77,15250.620650837069,2025-03-17 10:51:27.957132,2025-03-17 10:51:28.258059,0 days 00:00:00.300927,0.0988876050965327,9,46,900,79,PRUNED
78,51099.121621119775,2025-03-17 10:51:28.258202,2025-03-17 10:51:28.304186,0 days 00:00:00.045984,0.08342793826762,6,44,1000,40,PRUNED
79,15615.159521421549,2025-03-17 10:51:28.304326,2025-03-17 10:51:28.448114,0 days 00:00:00.143788,0.1771088590099183,6,47,500,46,PRUNED
80,15479.523274327072,2025-03-17 10:51:28.448266,2025-03-17 10:51:28.611876,0 days 00:00:00.163610,0.2351270642603411,7,48,1000,49,PRUNED
81,52514.30586067977,2025-03-17 10:51:28.612021,2025-03-17 10:51:28.653367,0 days 00:00:00.041346,0.05819854132821748,3,45,200,56,PRUNED
